"NUM_FATURA","NUM_ITEM_FATURA","COD_SERVICO_ERP","DESCR_SERVICO","QTD_ITEM","VLR_PRECO","VLR_TOTAL","PORTO"
"166",351,"I.2.1","ACOSTAGEM   [EMBARCAÇÕES SEM MOVIMENTAÇÃO DE CARGAS ] ",4230,0.36,1522.8,"SALVADOR"
"166",352,"I.1.6.1","INFRAESTRUTURA MARÍTMA  [SEM MOVIMENTAÇÃO DE CARGA ] ",371,0.35,129.85,"SALVADOR"
"289",890,"I.1.6.2","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",80448,0.51,41028.48,"SALVADOR"
"334",1100,"I.2.1","ACOSTAGEM   [CONTÊINER ] ",3324,0.36,1196.64,"SALVADOR"
"339",1124,"I.2.1","ACOSTAGEM   [EMBARCAÇÕES COM MOVIMENTAÇÃO DE CARGAS ] ",2875.2,0.36,1035.07,"SALVADOR"
"339",1125,"I.2.1.1","ACOSTAGEM   [EMBARCAÇÕES COM MOVIMENTAÇÃO DE CARGAS ] ",479.2,0.36,172.51,"SALVADOR"
"12810",18708,"S.II.1.1.1","ACOSTAGEM",6659.4,0.67,4461.8,"SALVADOR"
"12810",18706,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12810",18707,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",62003,0.2,12400.6,"SALVADOR"
"12921",18952,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3032.62,3032.62,"SALVADOR"
"12921",18953,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"12925",18960,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12925",18961,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",34018,0.2,6803.6,"SALVADOR"
"12925",18962,"S.II.1.1.1","ACOSTAGEM",1609.26,0.67,1078.2,"SALVADOR"
"12604",18118,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12604",18119,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",62000,0.2,12400,"SALVADOR"
"12604",18120,"S.II.1.1.1","ACOSTAGEM",4217.62,0.67,2825.8,"SALVADOR"
"12724",18451,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12724",18452,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",649980,0.2,129996,"SALVADOR"
"12724",18453,"S.II.1.1.1","ACOSTAGEM",3465,0.67,2321.55,"SALVADOR"
"12766",18599,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12766",18600,"S.I.2.1.1","INFRAESTRUTURA AQUAVIARIA",8400,1.2,10080,"SALVADOR"
"12766",18601,"S.II.1.1.1","ACOSTAGEM",2748.62,0.67,1841.58,"SALVADOR"
"12766",18602,"S.II.1.1.1.9","ACOSTAGEM",879.56,0.67,589.3,"SALVADOR"
"12777",18622,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3032.62,3032.62,"SALVADOR"
"12777",18623,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"12780",18627,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12780",18628,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",61570,0.2,12314,"SALVADOR"
"12780",18629,"S.II.1.1.1","ACOSTAGEM",3333,0.67,2233.11,"SALVADOR"
"12796",18668,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12486",17730,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12486",17731,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",10293,0.2,2058.6,"SALVADOR"
"12486",17732,"S.II.1.1.1","ACOSTAGEM",764.5,0.67,512.22,"SALVADOR"
"12492",17744,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12492",17745,"S.I.2.1.1","INFRAESTRUTURA AQUAVIARIA",36947,1.2,44336.4,"SALVADOR"
"12492",17746,"S.II.1.1.1","ACOSTAGEM",5593.7,0.67,3747.78,"SALVADOR"
"12492",17747,"S.II.1.1.1.9","ACOSTAGEM",828.7,0.67,555.23,"SALVADOR"
"12506",17800,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12506",17801,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",68004,0.2,13600.8,"SALVADOR"
"12506",17802,"S.II.1.1.1","ACOSTAGEM",3977.6,0.67,2664.99,"SALVADOR"
"12544",17931,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12544",17932,"S.I.2.1.1","INFRAESTRUTURA AQUAVIARIA",38134,1.2,45760.8,"SALVADOR"
"12544",17933,"S.II.1.1.1","ACOSTAGEM",8359.56,0.67,5600.9,"SALVADOR"
"12544",17934,"S.II.1.1.1.9","ACOSTAGEM",1044.94,0.67,700.11,"SALVADOR"
"12586",18058,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12586",18059,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",64995.9,0.2,12999.18,"SALVADOR"
"12586",18060,"S.II.1.1.1","ACOSTAGEM",3465,0.67,2321.55,"SALVADOR"
"12598",18103,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12598",18104,"S.I.2.1.1","INFRAESTRUTURA AQUAVIARIA",8441.8,1.2,10130.16,"SALVADOR"
"12598",18105,"S.II.1.2.1","ACOSTAGEM",8247.52,0.67,5525.84,"SALVADOR"
"12598",18106,"S.II.1.2.1.9","ACOSTAGEM",1429.57,0.67,957.81,"SALVADOR"
"12198",16793,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12198",16794,"S.I.2.1.1","INFRAESTRUTURA AQUAVIARIA",7760,1.2,9312,"SALVADOR"
"12198",16795,"S.II.1.1.1","ACOSTAGEM",5400,0.67,3618,"SALVADOR"
"12198",16796,"S.II.1.1.1.9","ACOSTAGEM",1620,0.67,1085.4,"SALVADOR"
"12226",16898,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12226",16899,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",61921,0.2,12384.2,"SALVADOR"
"12226",16900,"S.II.1.1.1","ACOSTAGEM",1890,0.67,1266.3,"SALVADOR"
"12275",17069,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
